Region,State,is_union_territory,Month,Quarter,Energy Requirement MU,Energy Availability MU,Energy_Deficit
West,Goa,0,Nov,Q4,421,421,0
South,Andhra Pradesh,0,Nov,Q4,6314,6314,0
South,Telangana,0,Nov,Q4,6147,6147,0
South,Karnataka,0,Nov,Q4,7037,7037,0
South,Kerala,0,Nov,Q4,2421,2420,1
South,Tamil Nadu,0,Nov,Q4,8829,8829,0
South,Puducherry,1,Nov,Q4,255,255,0
South,Lakshadweep,1,Nov,Q4,5,5,0
East,Bihar,0,Nov,Q4,2549,2538,11
East,Jharkhand,0,Nov,Q4,1089,1061,28
East,Odisha,0,Nov,Q4,3019,3014,5
East,West Bengal,0,Nov,Q4,4753,4747,6
Northeast,Sikkim,0,Nov,Q4,41,40,1
South,Andaman Nicobar,1,Nov,Q4,33,31,2
Northeast,Arunachal Pradesh,0,Nov,Q4,82,82,0
Northeast,Assam,0,Nov,Q4,851,851,0
Northeast,Manipur,0,Nov,Q4,80,80,0
Northeast,Meghalaya,0,Nov,Q4,186,186,0
Northeast,Mizoram,0,Nov,Q4,58,58,0
Northeast,Nagaland,0,Nov,Q4,69,69,0
Northeast,Tripura,0,Nov,Q4,123,123,0
North,Chandigarh,1,Dec,Q4,117,117,0
North,Delhi,1,Dec,Q4,2229,2229,0
North,Haryana,0,Dec,Q4,4489,4489,0
North,Himachal Pradesh,0,Dec,Q4,1154,1152,2
North,UTs of J&K and Ladakh,1,Dec,Q4,1822,1809,13
North,Punjab,0,Dec,Q4,4291,4291,0
North,Rajasthan,0,Dec,Q4,9331,9327,4
North,Uttar Pradesh,0,Dec,Q4,9839,9839,0
North,Uttarakhand,0,Dec,Q4,1267,1263,4
Central,Chhattisgarh,0,Dec,Q4,2799,2799,0
West,Gujarat,0,Dec,Q4,11718,11717,1
Central,Madhya Pradesh,0,Dec,Q4,8968,8968,0
West,Maharashtra,0,Dec,Q4,16236,16236,0
West,Dadra & Nagar Haveli and Daman & Diu,1,Dec,Q4,881,881,0
West,Goa,0,Dec,Q4,424,424,0
South,Andhra Pradesh,0,Dec,Q4,5780,5779,1
South,Telangana,0,Dec,Q4,6435,6433,2
South,Karnataka,0,Dec,Q4,7742,7740,2
South,Kerala,0,Dec,Q4,2552,2551,1
South,Tamil Nadu,0,Dec,Q4,9353,9352,1
South,Puducherry,1,Dec,Q4,263,263,0
South,Lakshadweep,1,Dec,Q4,5,5,0
East,Bihar,0,Dec,Q4,2613,2596,17
East,Jharkhand,0,Dec,Q4,1379,1305,74
East,Odisha,0,Dec,Q4,2574,2572,2
East,West Bengal,0,Dec,Q4,4483,4479,4
Northeast,Sikkim,0,Dec,Q4,54,54,0
South,Andaman Nicobar,1,Dec,Q4,32,31,1
Northeast,Arunachal Pradesh,0,Dec,Q4,94,94,0
Northeast,Assam,0,Dec,Q4,818,818,0
Northeast,Manipur,0,Dec,Q4,98,96,2
Northeast,Meghalaya,0,Dec,Q4,199,197,2
Northeast,Mizoram,0,Dec,Q4,62,62,0
Northeast,Nagaland,0,Dec,Q4,74,74,0
Northeast,Tripura,0,Dec,Q4,116,116,0
